keys,es,en
QUAD_HELP_BETAFLIGHT_EXPO,"Expo: suaviza la zona central. 0 es lineal; cuanto más alto, más plano cerca del centro.","Expo: softens the center. 0 is linear; the higher, the flatter around the center."
QUAD_HELP_BETAFLIGHT_RATE,"Super Rate: de 0 a 99. Cuanto mayor, más velocidad se concentra en los extremos del stick y más alto queda el máximo.","Super Rate: from 0 to 99. The higher, the more speed is concentrated at the ends of the stick travel and the higher the maximum."
QUAD_HELP_BETAFLIGHT_RC,RC Rate: sensibilidad general del stick. Multiplica toda la curva.,RC Rate: overall stick sensitivity. It scales the whole curve.
QUAD_HELP_CAMERA_ANGLE,"Inclinación de la cámara FPV respecto al dron, en grados.\nA mayor ángulo, más inclinado hacia adelante tenés que volar para ver el horizonte,\nes decir, más rápido. Orientativo: 15-25 para freestyle tranquilo, 30-45 para carreras.","Tilt of the FPV camera relative to the drone, in degrees.\nThe higher the angle, the more you have to lean forward to see the horizon,\nthat is, the faster you fly. Guide: 15-25 for relaxed freestyle, 30-45 for racing."
QUAD_HELP_DRY_WEIGHT,"Peso del dron sin batería, en gramos.\nMás peso significa más inercia, respuestas más lentas y menos empuje sobrante.\nOrientativo: 550 g es un 5 pulgadas de freestyle con cámara de acción; 300 g, uno de carreras.","Weight of the drone without battery, in grams.\nMore weight means more inertia, slower responses and less spare thrust.\nGuide: 550 g is a 5 inch freestyle quad with an action camera; 300 g, a racing one."
QUAD_HELP_FOV,"Campo de visión horizontal de la cámara FPV, en grados.\nMás grande muestra más del entorno pero deforma más los bordes.\nOrientativo: 150 es el valor por defecto con ojo de pez; 110-130 da una imagen más natural.","Horizontal field of view of the FPV camera, in degrees.\nA wider view shows more of the surroundings but bends the edges more.\nGuide: 150 is the default with the fisheye; 110-130 gives a more natural image."
QUAD_HELP_GRAPH,"Eje horizontal: posición del stick, de todo a la izquierda a todo a la derecha.\nEje vertical: velocidad de giro que pide esa posición.\nP, R e Y: máximo de cada eje en grados por segundo.","Horizontal axis: stick position, from full left to full right.\nVertical axis: rotation speed requested by that position.\nP, R and Y: maximum of each axis in degrees per second."
QUAD_HELP_KISS_EXPO,"RC Curve: expo de la zona central. 0 es lineal; cuanto más alto, más suave cerca del centro.","RC Curve: expo of the center. 0 is linear; the higher, the softer around the center."
QUAD_HELP_KISS_RATE,"Rate: curva ""super rate"" de 0 a 99. Cuanto mayor, más se concentra\nla velocidad en los extremos del stick y mayor es el máximo.","Rate: ""super rate"" curve from 0 to 99. The higher, the more the speed\nis concentrated at the ends of the stick travel and the higher the maximum."
QUAD_HELP_KISS_RC,RC Rate: sensibilidad general del stick. Multiplica toda la curva.,RC Rate: overall stick sensitivity. It scales the whole curve.
QUAD_HELP_PITCH,Pitch: inclinar el morro arriba o abajo (stick derecho adelante y atrás).\nEs lo que hace avanzar o frenar al dron.,Pitch: tilt the nose up or down (right stick forward and back).\nIt is what makes the drone move forward or brake.
QUAD_HELP_QUICKRATES_EXPO,"Expo: suaviza la zona central. 0 es lineal; cuanto más alto, más plano cerca del centro.","Expo: softens the center. 0 is linear; the higher, the flatter around the center."
QUAD_HELP_QUICKRATES_RATE,"Max Rate: velocidad de giro con el stick a fondo, en grados por segundo.","Max Rate: rotation speed with the stick at full deflection, in degrees per second."
QUAD_HELP_QUICKRATES_RC,RC Rate: sensibilidad cerca del centro.,RC Rate: sensitivity around the center.
QUAD_HELP_RACEFLIGHT_EXPO,"Expo: suaviza la zona central. 0 es lineal; cuanto más alto, más plano cerca del centro.","Expo: softens the center. 0 is linear; the higher, the flatter around the center."
QUAD_HELP_RACEFLIGHT_RATE,Acro+: añade velocidad extra hacia los extremos del stick.\nEl máximo real pasa a ser Rate x (1 + Acro+ / 100).,Acro+: adds extra speed toward the ends of the stick travel.\nThe real maximum becomes Rate x (1 + Acro+ / 100).
QUAD_HELP_RACEFLIGHT_RC,"Rate: velocidad de giro base con el stick a fondo, en grados por segundo, con Acro+ en 0.","Rate: base rotation speed with the stick at full deflection, in degrees per second, with Acro+ at 0."
QUAD_HELP_RATES_CURVE,Fórmula que convierte la posición del stick en velocidad de giro.\nTodas describen lo mismo con parámetros distintos. ACTUAL es la más fácil de razonar\nporque sus valores están directamente en grados por segundo.\nAl cambiar de curva los números se conservan pero cambian de significado:\npulsá Restablecer rates para cargar valores razonables de la curva elegida.,Formula that turns the stick position into a rotation speed.\nThey all describe the same thing with different parameters. ACTUAL is the easiest to reason\nabout because its values are directly in degrees per second.\nWhen you change the curve the numbers are kept but their meaning changes:\npress Reset rates to load sensible values for the selected curve.
QUAD_HELP_RESET_QUAD,"Restaura el ángulo de cámara, los pesos y el campo de visión por defecto.","Restores the default camera angle, weights and field of view."
QUAD_HELP_RESET_RATES,Carga los valores por defecto de la curva de rates seleccionada.,Loads the default values of the selected rates curve.
QUAD_HELP_ROLL,Roll: inclinarse a izquierda o derecha (stick derecho lateral).\nDesplaza el dron de costado. Conviene mantenerlo igual que Pitch:\nel dron es simétrico en estos dos ejes.,Roll: lean left or right (right stick sideways).\nIt moves the drone sideways. Keep it equal to Pitch:\nthe drone is symmetric on these two axes.
QUAD_HELP_YAW,"Yaw: girar sobre el eje vertical, cambiar hacia dónde mira el morro\n(stick izquierdo lateral). Es el eje más débil del dron, porque solo dispone\ndel par de reacción de las hélices, así que suele llevar un máximo algo menor.","Yaw: rotate around the vertical axis, change where the nose points\n(left stick sideways). It is the weakest axis of the drone, because it only relies\non the reaction torque of the propellers, so it usually has a slightly lower maximum."
QUAD_MAX_RATE,Max Rate,Max Rate
QUAD_PITCH,Pitch,Pitch
QUAD_RATE,Rate,Rate
QUAD_RATES_CURVE,Curva de rates,Rates curve
QUAD_RC_CURVE,RC Curve,RC Curve
QUAD_RC_RATE,RC Rate,RC Rate
QUAD_RESET_QUAD,Restablecer dron,Reset quad
QUAD_RESET_QUAD_CONFIRM,¿Restablecer el cuadro a los valores de fábrica?,Reset the frame to its factory values?
QUAD_RESET_RATES,Restablecer rates,Reset rates
QUAD_RESET_RATES_CONFIRM,¿Restablecer las rates a los valores de fábrica?,Reset the rates to their factory values?
QUAD_ROLL,Roll,Roll
QUAD_SECTION_FRAME,Cuadro,Frame
QUAD_SECTION_RATES,Rates,Rates
QUAD_SUBTITLE,Ajustá el cuadro y las curvas de rates de tu dron,Tune your drone frame and its rate curves
QUAD_TITLE,Ajustes del dron,Quad settings
QUAD_UNIT_DEG,°,°
QUAD_UNIT_KG," kg"," kg"
QUAD_YAW,Yaw,Yaw
RESULT_ACCURACY,Precisión,Accuracy
RESULT_DEATHS,Reconstrucciones,Rebuilds
RESULT_INTEGRITY,Integridad,Integrity
RESULT_MEDAL_BRONZE,Bronce,Bronze
RESULT_MEDAL_GOLD,Oro,Gold
RESULT_MEDAL_NONE,Sin medalla,No medal
RESULT_MEDAL_SILVER,Plata,Silver
RESULT_MENU,Menú principal,Main menu
RESULT_MULTIPLIER,Multiplicador,Multiplier
RESULT_NEW_RECORD,¡Nuevo récord!,New record!
RESULT_NEXT,Siguiente ronda,Next round
RESULT_PARTS,Partes rotas,Parts broken
RESULT_RETRY,Reintentar,Retry
RESULT_ROUNDS,Elegir ronda,Choose round
RESULT_SCORE,Puntaje,Score
RESULT_TIME,Tiempo,Time
ROUND_BEST_SCORE,Mejor puntaje,Best score
ROUND_BEST_TIME,Mejor tiempo,Best time
ROUND_COMING_SOON,Próximamente,Coming soon
ROUND_DEFEAT,CIUDAD PERDIDA,CITY LOST
ROUND_FIRST_CONTACT_GOAL,Defendé el distrito A del Arachnodroid.,Defend District A from the Arachnodroid.
ROUND_FIRST_CONTACT_NAME,Primer contacto,First Contact
ROUND_INTRO_SKIP,Saltear,Skip
ROUND_LOCKED_HINT,Completá «{0}» para desbloquear,Complete “{0}” to unlock
ROUND_MENU_SUBTITLE,%d de %d rondas completadas,%d of %d rounds completed
ROUND_MENU_TITLE,Rondas,Rounds
ROUND_NOT_PLAYED,Todavía no la jugaste,Not played yet
ROUND_VICTORY,CIUDAD A SALVO,CITY SECURED
TUT_ALTITUDE,Altura %.1f m,Altitude %.1f m
TUT_END_SUBTITLE,Completaste el instructor. Seguí practicando en vuelo libre o probá las pistas con R.,You completed the instructor. Keep practicing in free flight or try the tracks with R.
TUT_END_TITLE,¡Ya sabés volar!,You can fly!
TUT_GATES_T,Cruzá la puerta iluminada.,Fly through the highlighted gate.
TUT_GATE_P,Puerta %d de %d · a %.1f m,Gate %d of %d · %.1f m away
TUT_KEY_NEXT,Siguiente,Next
TUT_KEY_PAUSE,Pausa,Pause
TUT_KEY_RESTART,Reiniciar lección,Restart lesson
TUT_KEY_SKIP,Saltar,Skip
TUT_L1_OBJECTIVE,Primero comprobamos que el simulador lee tu mando. El stick izquierdo maneja el acelerador (arriba y abajo) y la guiñada (a los lados). El derecho maneja el cabeceo (arriba y abajo) y el alabeo (a los lados).,"First, let's check that the simulator reads your controller. The left stick drives the throttle (up and down) and the yaw (sideways). The right stick drives the pitch (up and down) and the roll (sideways)."
TUT_L1_TITLE,Tu control,Your controller
TUT_L1_T_ARM,"Con el stick izquierdo abajo del todo, armá el dron: LB en el gamepad, Espacio en el teclado o el switch de armado de la radio.","With the left stick all the way down, arm the drone: LB on a gamepad, Space on the keyboard or the arm switch of your radio."
TUT_L1_T_DISARM,Los motores giran. Desarmá con el mismo botón o switch.,The motors are spinning. Disarm with the same button or switch.
TUT_L1_T_JOYPAD,Presioná cualquier botón del mando.,Press any button on your controller.
TUT_L1_T_PITCH,Mové el stick derecho arriba y abajo del todo.,Move the right stick all the way up and down.
TUT_L1_T_ROLL,Mové el stick derecho hasta los dos costados.,Move the right stick to both sides.
TUT_L1_T_THROTTLE_DOWN,Ahora bajalo del todo.,Now pull it all the way down.
TUT_L1_T_THROTTLE_UP,Llevá el stick izquierdo arriba del todo.,Push the left stick all the way up.
TUT_L1_T_YAW,Mové el stick izquierdo hasta los dos costados.,Move the left stick to both sides.
TUT_L2_OBJECTIVE,"Estás en modo Horizon: el dron se nivela solo, pero el acelerador es directo. Con un gamepad, el stick en el centro no alcanza para sostenerlo: subilo un poco más.","You are in Horizon mode: the drone levels itself, but the throttle is direct. With a gamepad, the stick at the center is not enough to hold it: push it a bit higher."
TUT_L2_P_HOLD,Altura %.1f m · en la zona %.1f / %.0f s,Altitude %.1f m · in the zone %.1f / %.0f s
TUT_L2_TITLE,Despegue y altura,Takeoff and altitude
TUT_L2_T_ARM,Armá el dron con el acelerador abajo del todo.,Arm the drone with the throttle all the way down.
TUT_L2_T_CLIMB,Subí despacio hasta entrar en el cilindro azul.,Climb slowly into the blue cylinder.
TUT_L2_T_DESCEND,Estás muy alto: bajá un poco el acelerador.,Too high: lower the throttle a little.
TUT_L2_T_HOLD,¡Ahí! Mantenete dentro del cilindro.,There! Stay inside the cylinder.
TUT_L2_T_LAND,Bajá despacio hasta apoyar el dron y desarmá.,"Come down slowly until the drone touches the ground, then disarm."
TUT_L3_OBJECTIVE,"La guiñada gira el dron sobre sí mismo, como cuando mirás a los costados. Se maneja con el stick izquierdo hacia los lados, sin soltar el acelerador. Usá las banderas como referencia.","Yaw spins the drone around itself, like looking sideways. Move the left stick sideways without letting go of the throttle. Use the flags as a reference."
TUT_L3_P_TURN,Giro %d° de %d°,Turned %d° of %d°
TUT_L3_TITLE,Guiñada,Yaw
TUT_L3_T_LEFT,"En el aire, girá hacia la izquierda.","While flying, turn to the left."
TUT_L3_T_RIGHT,Ahora girá hacia la derecha.,Now turn to the right.
TUT_L4_OBJECTIVE,"El cabeceo inclina el dron hacia adelante o hacia atrás, y así avanza o retrocede. Se maneja con el stick derecho. Cuanto más lo inclinás, más rápido va.","Pitch tilts the drone forward or backward, so it moves ahead or back. Use the right stick. The more you tilt, the faster it goes."
TUT_L4_TITLE,Cabeceo,Pitch
TUT_L4_T_BACK,Tirá el stick derecho hacia abajo y volvé a la zona del centro.,Pull the right stick down and fly back to the center zone.
TUT_L4_T_FORWARD,Empujá el stick derecho hacia arriba y volá hasta la zona azul de adelante.,Push the right stick up and fly to the blue zone ahead.
TUT_L5_OBJECTIVE,"El alabeo inclina el dron hacia un costado y lo desplaza de lado, sin girar. Se maneja con el stick derecho hacia la izquierda o la derecha.","Roll tilts the drone to one side and moves it sideways, without turning. Move the right stick left or right."
TUT_L5_TITLE,Alabeo,Roll
TUT_L5_T_CENTER_LEFT,Inclinate a la izquierda para volver al centro.,Roll to the left to get back to the center.
TUT_L5_T_CENTER_RIGHT,Volvé al centro inclinándote a la derecha.,Roll to the right to get back to the center.
TUT_L5_T_LEFT,Seguí hacia la izquierda hasta la otra zona.,Keep going left to the other zone.
TUT_L5_T_RIGHT,Inclinate a la derecha y volá hasta la zona azul.,Roll to the right and fly to the blue zone.
TUT_L6_OBJECTIVE,"Ahora combinás todo: acelerador para la altura, cabeceo para avanzar, guiñada y alabeo para apuntar. Cruzá las tres puertas en orden y de frente.","Now put it all together: throttle for altitude, pitch to move ahead, yaw and roll to aim. Fly through the three gates in order, from the front."
TUT_L6_TITLE,Puertas en modo Horizon,Gates in Horizon mode
TUT_L7_OBJECTIVE,"En Acro el dron no se nivela solo: el stick derecho marca la velocidad de giro y, al soltarlo, el dron mantiene la inclinación. Hacé movimientos cortos y volvé a centrar. Es el modo de los pilotos de carreras.","In Acro the drone does not level itself: the right stick sets the rotation speed and, when you let go, the drone keeps its tilt. Make short moves and center again. This is the mode racing pilots use."
TUT_L7_TITLE,Puertas en modo Acro,Gates in Acro mode
TUT_L8_OBJECTIVE,"Una vuelta cronometrada por cuatro puertas. Esperá la cuenta regresiva sobre la plataforma: si despegás antes, es salida en falso. Si Acro te cuesta, podés cambiar de modo con A o M.","One timed lap through four gates. Wait for the countdown on the launch pad: taking off early is a false start. If Acro is hard, you can switch modes with A or M."
TUT_L8_P_RACE,Puerta %d de %d · %s,Gate %d of %d · %s
TUT_L8_SUCCESS,Tu tiempo: %s,Your time: %s
TUT_L8_TITLE,Tu primer circuito,Your first race track
TUT_L8_T_RACE,¡Volá! Cruzá las puertas en orden.,Fly! Go through the gates in order.
TUT_L8_T_WAIT,"Esperá el ¡YA! sin despegar. Si hubo salida en falso, reiniciá la lección.","Wait for GO! without taking off. After a false start, restart the lesson."
TUT_LAST_DONE,¡Terminaste la última lección!,You finished the last lesson!
TUT_LESSON_OF,LECCIÓN %d DE %d,LESSON %d OF %d
TUT_MENU_ALL_DONE,Completaste todas las lecciones. Podés repetir cualquiera cuando quieras.,You completed every lesson. You can repeat any of them whenever you want.
TUT_MENU_CHOOSE,Elegir lección,Choose a lesson
TUT_MENU_CONTINUE,"Seguir: lección %d, %s","Continue: lesson %d, %s"
TUT_MENU_FREE_FLIGHT,Volar libre,Free flight
TUT_MENU_PROGRESS,Completaste %d de %d lecciones.,You completed %d of %d lessons.
TUT_MENU_REPEAT,Repetir desde la primera lección,Repeat from the first lesson
TUT_MENU_RESTART,Empezar de cero,Start over
TUT_MENU_START,Empezar,Start
TUT_MENU_SUBTITLE,%d lecciones cortas para pasar de cero a tu primer circuito. Necesitás un gamepad o una radio.,%d short lessons from zero to your first race track. You need a gamepad or a radio.
TUT_MENU_TITLE,Instructor de vuelo,Flight instructor
TUT_NEXT_SOON,Enseguida empieza la próxima lección.,The next lesson starts in a moment.
TUT_PAUSE_CHOOSE,Elegir lección,Choose a lesson
TUT_PAUSE_RESTART,Reiniciar lección,Restart lesson
TUT_PAUSE_SKIP,Saltar lección,Skip lesson
TUT_PICK_DONE,(completada),(completed)
TUT_PICK_ENTRY,%d. %s,%d. %s
TUT_PICK_SUBTITLE,Podés repetir cualquier lección cuando quieras.,You can repeat any lesson whenever you want.
TUT_PICK_TITLE,Elegir lección,Choose a lesson
TUT_SKIPPED,Lección saltada,Lesson skipped
TUT_STEP_OF,Paso %d de %d,Step %d of %d
TUT_STICK_LEFT,Stick izquierdo,Left stick
TUT_STICK_RIGHT,Stick derecho,Right stick
TUT_T_BACK_UP,Volvé a subir para seguir.,Climb again to continue.
TUT_T_TAKEOFF,Armá el dron y subí a más de un metro.,Arm the drone and climb above one meter.
TUT_WARN_CRASHED,El dron quedó volcado. Reiniciá la lección con el botón indicado abajo.,The drone flipped over. Restart the lesson with the button shown below.
TUT_WARN_DISARM_AIR,Desarmaste en el aire. Volvé a despegar y aterrizá antes de desarmar.,You disarmed in the air. Take off again and land before disarming.
TUT_WARN_MODE_LOCKED,En esta lección el modo de vuelo está fijo.,The flight mode is fixed in this lesson.
TUT_WARN_NOT_YET,Todavía no armes: primero terminá de mover los sticks.,Do not arm yet: finish moving the sticks first.
TUT_WARN_NO_JOYPAD,No hay mando conectado. Conectá un gamepad o una radio.,No controller connected. Plug in a gamepad or a radio.
TUT_WARN_OUT_OF_BOUNDS,Te alejaste de la zona de práctica: el dron volvió al inicio de la lección.,You left the practice area: the drone went back to the start of the lesson.
TUT_WARN_RECOVER,Modo recuperación: el dron se inclinó demasiado y baja solo. Soltá los sticks.,Recovery mode: the drone tilted too much and is coming down by itself. Release the sticks.
TUT_WARN_THROTTLE_HIGH,"Para armar, el acelerador tiene que estar abajo del todo.","To arm, the throttle must be all the way down."
TUT_WELL_DONE,¡Bien hecho!,Well done!
TUT_ZONE_P,Zona %d de %d · a %.1f m,Zone %d of %d · %.1f m away
UI_BACK,Volver,Back
UI_CANCEL,Cancelar,Cancel
UI_CONFIRM,Confirmar,Confirm
UI_HINT_ACCEPT,Aceptar,Select
UI_HINT_ADJUST,Ajustar,Adjust
UI_HINT_BACK,Volver,Back
UI_HINT_NAVIGATE,Navegar,Navigate
UI_KEY_DPAD,Cruceta,D-pad
UI_LOADING,Preparando el despliegue…,Preparing the deployment…
UI_NOT_YET,Disponible en un próximo paquete de trabajo,Coming in a later work package
UI_NO_CONTROLLER,Sin mando conectado,No controller connected
UI_NO_CONTROLLER_WEB,Presioná un botón del mando para activarlo,Press a button on your controller to activate it
UI_OFF,Desactivado,Off
UI_OK,Aceptar,OK
UI_ON,Activado,On
UI_PERCENT,%d %%,%d %%
UI_TIP_ARM,Bajá el acelerador antes de armar.,Lower the throttle before arming.
UI_TIP_BATTERIES,Las pilas reaparecen: memorizá dónde están.,Batteries respawn — memorize where they are.
UI_TIP_CITY,"Si la ciudad cae por debajo del 35 %, perdés.","If the city drops below 35 %, you lose."
UI_TIP_STICKS,Acro manda velocidad de giro; Horizonte manda ángulo.,Acro commands rate; Horizon commands angle.
UI_TIP_TELEGRAPH,Todo ataque avisa antes de golpear.,Every attack telegraphs before it lands.
UI_TIP_WEAK_POINTS,Lo que brilla en cian se puede romper.,Anything glowing cyan can be broken.
WP_CORE,Núcleo,Core
WP_KNEE,Rodilla,Knee
WP_VISOR,Visor,Visor
